"","tvalues","df","t","pval","rej","D2","D1","p.one.samp","D","SE","Dr","tr","exclude"
"197",0.51,70,0.51,0.611655802049859,FALSE,0.120208152801713,0.0605258645678865,0.72,0.077236905273358,0.151444912300702,-0.077236905273358,-0.51,FALSE
"198",3.51,70,3.51,0.000788236092073014,TRUE,0.827314933988261,0.416560362026042,0.72,0.531571642175464,0.151444912300702,-0.531571642175464,-3.51,FALSE
"199",1.7,17,1.7,0.107352203599082,FALSE,0.78001349515991,0.400693842672377,0.72,0.506903345368886,0.298178438452286,0.506903345368886,1.7,FALSE
"200",2.89,17,2.89,0.0101758878723848,TRUE,1.32602294177185,0.681179532543041,0.72,0.861735687127107,0.298178438452286,-0.861735687127107,-2.89,FALSE
"202",0.51,39,0.51,0.612925768210825,FALSE,0.159297237126378,0.0806380803342937,0.72,0.102662644236077,0.201299302423681,-0.102662644236077,-0.51,FALSE
"204",1.26,16,1.26,0.225737903255617,FALSE,0.5939696961967,0.30559488754578,0.72,0.386339833968037,0.306618915847649,0.386339833968037,1.26,FALSE
"205",0.85,45,0.85,0.399824998244023,FALSE,0.247970485546421,0.125325662731663,0.72,0.159666213119795,0.187842603670347,-0.159666213119795,-0.85,FALSE
"206",2.03,45,2.03,0.0482932931675153,TRUE,0.592211865481452,0.299307170994441,0.72,0.381320485450804,0.187842603670347,0.381320485450804,2.03,FALSE
"207",1.08,38,1.08,0.286949412347544,FALSE,0.341525987298185,0.172938406109494,0.72,0.220142928842328,0.203836045224377,0.220142928842328,1.08,FALSE
"208",3.01,38,3.01,0.00462229356171595,TRUE,0.951845575710682,0.481985742953312,0.72,0.613546496125376,0.203836045224377,-0.613546496125376,-3.01,FALSE
"210",0.67,13,0.67,0.514583449190861,FALSE,0.345986512261196,0.179065032081324,0.72,0.225803046531688,0.337019472435356,0.225803046531688,0.67,FALSE
"212",1.47,14,1.47,0.163675499409892,FALSE,0.735,0.379552367928327,0.72,0.479077704908395,0.325903200617956,0.479077704908395,1.47,FALSE
"214",2.7,9,2.7,0.0243936967435454,TRUE,1.62816126071992,0.853814968245462,0.93,0.908019208718675,0.336303410636546,-0.908019208718675,-2.7,FALSE
"217",1.49,11,1.49,0.164328963023864,FALSE,0.826503292375591,0.430125950546271,0.72,0.541111606258481,0.363162151851329,0.541111606258481,1.49,FALSE
"219",2.43,36,2.43,0.020213386901438,TRUE,0.788396106695506,0.399489539152018,0.72,0.508383378064195,0.209211266693084,-0.508383378064195,-2.43,FALSE
"220",1.6,36,1.6,0.118339190453718,FALSE,0.51910854761844,0.263038379688572,0.72,0.334738026708935,0.209211266693084,0.334738026708935,1.6,FALSE
"221",1.17,7,1.17,0.280289617897729,FALSE,0.78,0.41365746699413,0.93,0.439301444304541,0.375471319918411,0.439301444304541,1.17,FALSE
"222",3.5,7,3.5,0.00999304088188557,TRUE,2.33333333333333,1.23743686707646,0.93,1.31414961971444,0.375471319918411,-1.31414961971444,-3.5,FALSE
"223",1.09,7,1.09,0.311807214925084,FALSE,0.726666666666667,0.385373195746668,0.93,0.409263738711068,0.375471319918411,-0.409263738711068,-1.09,FALSE
"224",2.9,7,2.9,0.0229859301523896,TRUE,1.93333333333333,1.02530483272049,0.93,1.08886682776339,0.375471319918411,-1.08886682776339,-2.9,FALSE
"226",4.43,7,4.43,0.00304424955254445,TRUE,2.95333333333333,1.5662415203282,0.93,1.66333794723856,0.375471319918411,-1.66333794723856,-4.43,FALSE
"227",4.76,7,4.76,0.00205946291341697,TRUE,3.17333333333333,1.68291413922398,0.93,1.78724348281164,0.375471319918411,1.78724348281164,4.76,FALSE
"228",4.96,7,4.96,0.0016375969546325,TRUE,3.30666666666667,1.75362481734264,0.93,1.86233774679532,0.375471319918411,1.86233774679532,4.96,FALSE
"229",0.35,7,0.35,0.736633143565814,FALSE,0.233333333333333,0.123743686707646,0.93,0.131414961971444,0.375471319918411,-0.131414961971444,-0.35,FALSE
"230",3.65,5,3.65,0.0147482720331225,TRUE,2.75914065296736,1.4901062601931,0.93,1.5789386676873,0.432585936352684,-1.5789386676873,-3.65,FALSE
"231",2.72,5,2.72,0.0417749525786935,TRUE,2.0561267331702,1.11043535006171,0.93,1.1766337468793,0.432585936352684,1.1766337468793,2.72,FALSE
"232",2.53,17,2.53,0.0215790019048314,TRUE,1.16084361338504,0.596326718800655,0.72,0.754391449284284,0.298178438452286,0.754391449284284,2.53,FALSE
"234",2.26,17,2.26,0.0372370588158217,TRUE,1.03695911709494,0.532687108493866,0.72,0.673883270902166,0.298178438452286,-0.673883270902166,-2.26,FALSE
"235",5.9,17,5.9,1.74744177705577e-05,TRUE,2.70710565967263,1.39064333633354,0.72,1.75925278686849,0.298178438452286,1.75925278686849,5.9,FALSE
"236",2.38,34,2.38,0.0230637574461587,TRUE,0.793333333333333,0.402293425250774,0.72,0.511784599513891,0.21503554601424,0.511784599513891,2.38,FALSE
"237",0.57,17,0.57,0.57613387758363,FALSE,0.26153393661244,0.134350288425444,0.72,0.169961709917803,0.298178438452286,0.169961709917803,0.57,FALSE
"238",2.07,34,2.07,0.0461170735029639,TRUE,0.69,0.349893861457606,0.72,0.445123580249476,0.21503554601424,0.445123580249476,2.07,FALSE
"239",4.68,34,4.68,4.44814377227321e-05,TRUE,1.56,0.791064382425891,0.72,1.00636635534664,0.21503554601424,1.00636635534664,4.68,FALSE
"240",5.36,34,5.36,5.85298408939394e-06,TRUE,1.78666666666667,0.90600536106897,0.72,1.15259052663632,0.21503554601424,-1.15259052663632,-5.36,FALSE
"241",0.21,18,0.21,0.836026347311374,FALSE,0.0939148550549912,0.048177304112818,0.72,0.0609838183766265,0.290399135126793,0.0609838183766265,0.21,FALSE
"242",0.91,7,0.91,0.393077418638857,FALSE,0.606666666666667,0.321733585439879,0.93,0.341678901125754,0.375471319918411,0.341678901125754,0.91,FALSE
"243",3.63,9,3.63,0.0054856215693726,TRUE,2.18897236163456,1.14790679064112,0.93,1.22078138061066,0.336303410636546,-1.22078138061066,-3.63,FALSE
"245",2.51,18,2.51,0.0218488334901126,TRUE,1.12250612470489,0.57583349201511,0.72,0.72890182916825,0.290399135126793,-0.72890182916825,-2.51,FALSE
"246",5.22,14,5.22,0.000129756099301215,TRUE,2.61,1.34779820448018,0.72,1.70121470722573,0.325903200617956,1.70121470722573,5.22,FALSE
"247",0.17,14,0.17,0.867442284789536,FALSE,0.085,0.0438938112570174,0.72,0.0554035441050525,0.325903200617956,0.0554035441050525,0.17,FALSE
"249",4.15,14,4.15,0.000981566829892255,TRUE,2.075,1.07152539245072,0.72,1.35249828256452,0.325903200617956,-1.35249828256452,-4.15,FALSE
"250",2.6,28,2.6,0.0147159922933562,TRUE,0.949385766342288,0.482807879260335,0.72,0.613449687643282,0.235942187555108,-0.613449687643282,-2.6,FALSE
"251",0.31,53,0.31,0.757776641387264,FALSE,0.083600782945442,0.0421856566812658,0.72,0.0537818920352352,0.17348997430721,0.0537818920352352,0.31,FALSE
"252",4.51,6,4.51,0.00406049266846864,TRUE,3.18905158315133,1.70461977327161,0.93,1.80852999996319,0.40100443458164,1.80852999996319,4.51,FALSE
"253",2.25,11,2.25,0.0458899038266094,TRUE,1.24807544150677,0.649519052838329,0.72,0.817114841665491,0.363162151851329,0.817114841665491,2.25,FALSE
"254",0.827,6,0.827,0.439880212269514,FALSE,0.584777308041275,0.312576619178631,0.93,0.331630667399016,0.40100443458164,-0.331630667399016,-0.827,FALSE
"255",3.15,6,3.15,0.0198147231407124,TRUE,2.22738636073762,1.19058808997907,0.93,1.26316396893216,0.40100443458164,1.26316396893216,3.15,FALSE
"256",0.77,6,0.77,0.470519748507828,FALSE,0.544472221513642,0.291032644217105,0.93,0.308773414627863,0.40100443458164,-0.308773414627863,-0.77,FALSE
"257",2.76,31,2.76,0.0096175439822006,TRUE,0.960908660875452,0.487903679018718,0.72,0.620345073938603,0.224762707948769,0.620345073938603,2.76,FALSE
"258",3.162,4,3.162,0.0341185112618621,TRUE,2.58176218889347,1.41408938897087,0.93,1.49582648496545,0.473063404479902,1.49582648496545,3.162,FALSE
"260",2.2,103,2.2,0.0300416222434434,TRUE,0.429396032097355,0.215727748652002,0.72,0.275554868016701,0.125252212734864,-0.275554868016701,-2.2,FALSE
