"","tvalues","df","t","pval","rej","D2","D1","p.one.samp","D","SE","Dr","tr","exclude"
"12428",1.51,6,1.51,0.18178555160549,FALSE,1.06773123959169,0.570726354243933,0.93,0.605516696218276,0.40100443458164,0.605516696218276,1.51,FALSE
"14002",0.65,5,0.65,0.544369864109083,FALSE,0.491353814911995,0.265361388801511,0.93,0.281180858629245,0.432585936352684,0.281180858629245,0.65,FALSE
"10935",2.67,15,2.67,0.0174781936360038,TRUE,1.29514023769402,0.6675,0.72,0.843239266554325,0.315819950020346,-0.843239266554325,-2.67,FALSE
"17627",1.53,13,1.53,0.149980253473936,FALSE,0.790088602626313,0.408909700126009,0.72,0.515639792826094,0.337019472435356,0.515639792826094,1.53,FALSE
"17997",2.4,28,2.4,0.0232893825282208,TRUE,0.876356092008266,0.445668811624924,0.72,0.56626125013226,0.235942187555108,0.56626125013226,2.4,FALSE
"5317",3.79,23,3.79,0.000946283960356453,TRUE,1.516,0.773630510429021,0.72,0.981493967508895,0.258969384566991,-0.981493967508895,-3.79,FALSE
"471",3.31,973,3.31,0.000967222253587252,TRUE,0.212009675637935,0.106059241126536,0.72,0.135725362789728,0.0410046413262018,-0.135725362789728,-3.31,FALSE
"11197",2.2,10,2.2,0.0524410684493533,FALSE,1.27017059221718,0.66332495807108,0.93,0.705804152461307,0.320820069300594,-0.705804152461307,-2.2,FALSE
"17127",2.24,15,2.24,0.0406611434005564,TRUE,1.08655960016277,0.56,0.72,0.707436688045576,0.315819950020346,0.707436688045576,2.24,FALSE
"19653",2.78,63,2.78,0.0071582755556463,TRUE,0.689633124315999,0.3475,0.72,0.44329727480848,0.159459451369957,0.44329727480848,2.78,FALSE
"24087",1.44,13,1.44,0.17351288751142,FALSE,0.743612802471824,0.384856188353891,0.72,0.485308040306912,0.337019472435356,0.485308040306912,1.44,FALSE
"13109",5.83,3,5.83,0.0100525720077467,TRUE,5.21451052352951,2.915,0.93,3.07596573664707,0.527609903369994,3.07596573664707,5.83,FALSE
